,Name,Population,Latitude,Longitude
3952,Martigues,45749,43.40735,5.05526
3954,Marignane,35873,43.41727,5.21462
3978,Le Havre,185972,49.49346,0.10785
4056,Colombes,82300,48.91882,2.25404
4063,Châtenay-Malabry,32715,48.76507,2.26655
4087,Bordeaux,260958,44.84044,-0.5805
4116,Albi,52409,43.9298,2.148
4118,Lyon 07,82573,45.74525,4.84197
4182,Joué-lès-Tours,37466,47.34907,0.66513
4237,Compiègne,44243,49.41794,2.82606
4238,Colomiers,31363,43.61058,1.33467
4298,Angoulême,49468,45.64997,0.15345
4310,Vitry-sur-Seine,81001,48.78716,2.40332
4401,Pontoise,30290,49.05,2.1
4418,Niort,54660,46.32313,-0.45877
4622,La Roche-sur-Yon,59410,46.66974,-1.42757
4637,La Ciotat,33113,43.17476,5.60449
4670,Élancourt,30831,48.78421,1.9552
4674,Dunkerque,71287,51.0344,2.37681
4700,Châtellerault,37210,46.81705,0.54518
4769,Vienne,32293,45.52569,4.87484
4772,Versailles,85416,48.80359,2.13424
4844,Reims,196565,49.26526,4.02853
4857,Plaisir,36121,48.82319,1.9541
4895,Marcq-en-Barœul,38629,50.66667,3.08333
4905,Lorient,58112,47.74817,-3.37177
4984,Clermont-Ferrand,147865,45.77969,3.08682
5007,Blois,53660,47.59432,1.32912
5010,Béthune,31568,50.52965,2.64003
5034,Aubagne,44844,43.29276,5.57067
5036,Anglet,40658,43.48921,-1.51921
5041,Lyon 04,36064,45.77507,4.82712
5074,Liévin,34370,50.4198,2.78068
5082,Le Cannet,43353,43.57662,7.01912
5083,Laval,50489,48.07247,-0.77019
5105,Ivry-sur-Seine,57897,48.81568,2.38487
5106,Istres,44373,43.51345,4.98747
5119,Grasse,47581,43.65783,6.92537
5216,Bayonne,44396,43.49316,-1.473
5225,Aurillac,34724,44.92539,2.43983
5236,Alençon,30786,48.43476,0.09311
5277,Saumur,33229,47.25931,-0.07808
5464,Gap,42715,44.55858,6.07868
5530,Biarritz,33188,43.48055,-1.55684
5570,Viry-Châtillon,31131,48.67211,2.39318
5593,Talence,42579,44.80849,-0.58915
5666,Quimper,63849,47.99597,-4.09795
5696,Neuilly-sur-Marne,34465,48.85373,2.54903
5778,Goussainville,30047,49.01367,2.46595
5833,Castres,47275,43.60527,2.24088
5879,Lyon 09,51983,45.77255,4.80326
5880,Marseille 04,47193,43.30213,5.40141
5881,Marseille 06,43360,43.28764,5.37918
